Statistical profiling result from isolate-0x110008000-97458-v8.log, (20311 ticks, 14 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     64    0.3%          /usr/lib/system/libsystem_malloc.dylib
     64    0.3%          /usr/lib/system/libsystem_kernel.dylib
     43    0.2%          /usr/lib/system/libsystem_platform.dylib
     20    0.1%          /usr/lib/system/libsystem_pthread.dylib
     10    0.0%          /usr/lib/system/libsystem_c.dylib
      5    0.0%          /usr/lib/libc++abi.dylib
      5    0.0%          /usr/lib/libc++.1.dylib

 [JavaScript]:
   ticks  total  nonlib   name
     15    0.1%    0.1%  LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
     14    0.1%    0.1%  LazyCompile: *next /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/router/index.js:176:16
     13    0.1%    0.1%  LazyCompile: *connectionListenerInternal _http_server.js:418:36
     10    0.0%    0.0%  LazyCompile: *parserOnHeadersComplete _http_common.js:75:33
     10    0.0%    0.0%  LazyCompile: *nextTick internal/process/task_queues.js:101:18
      8    0.0%    0.0%  LazyCompile: *_storeHeader _http_outgoing.js:360:22
      8    0.0%    0.0%  LazyCompile: *Readable.on internal/streams/readable.js:857:33
      7    0.0%    0.0%  LazyCompile: *end _http_outgoing.js:769:45
      6    0.0%    0.0%  LazyCompile: *parserOnIncoming _http_server.js:809:26
      6    0.0%    0.0%  LazyCompile: *Socket net.js:268:16
      5    0.0%    0.0%  LazyCompile: *get internal/streams/writable.js:710:8
      5    0.0%    0.0%  LazyCompile: *endReadable internal/streams/readable.js:1310:21
      5    0.0%    0.0%  LazyCompile: *_unrefTimer net.js:393:52
      5    0.0%    0.0%  LazyCompile: *Socket.resume net.js:611:35
      5    0.0%    0.0%  LazyCompile: *Readable.read internal/streams/readable.js:390:35
      5    0.0%    0.0%  LazyCompile: *EventEmitter.init events.js:131:29
      4    0.0%    0.0%  LazyCompile: *resOnFinish _http_server.js:756:21
      4    0.0%    0.0%  LazyCompile: *onStreamRead internal/stream_base_commons.js:165:22
      4    0.0%    0.0%  LazyCompile: *noop internal/util/debuglog.js:45:14
      4    0.0%    0.0%  LazyCompile: *attachListener /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/on-finished/index.js:140:24
      3    0.0%    0.0%  LazyCompile: *process_params /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/router/index.js:327:47
      3    0.0%    0.0%  LazyCompile: *finishMaybe internal/streams/writable.js:635:21
      3    0.0%    0.0%  LazyCompile: *fastparse /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/parseurl/index.js:95:20
      3    0.0%    0.0%  LazyCompile: *Socket.end net.js:590:32
      3    0.0%    0.0%  LazyCompile: *Socket._destroy net.js:653:37
      3    0.0%    0.0%  LazyCompile: *Readable.resume internal/streams/readable.js:944:37
      2    0.0%    0.0%  RegExp: ^[\^_`a-zA-Z\-0-9!#$%&'*+.|~]+$
      2    0.0%    0.0%  LazyCompile: *write /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/finalhandler/index.js:273:18
      2    0.0%    0.0%  LazyCompile: *setHeader _http_outgoing.js:556:57
      2    0.0%    0.0%  LazyCompile: *resume_ internal/streams/readable.js:965:17
      2    0.0%    0.0%  LazyCompile: *readableAddChunk internal/streams/readable.js:231:26
      2    0.0%    0.0%  LazyCompile: *query /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/middleware/query.js:39:24
      2    0.0%    0.0%  LazyCompile: *onwrite internal/streams/writable.js:394:17
      2    0.0%    0.0%  LazyCompile: *hidden internal/errors.js:286:25
      2    0.0%    0.0%  LazyCompile: *handle /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/express/lib/router/index.js:136:31
      2    0.0%    0.0%  LazyCompile: *get internal/streams/duplex.js:92:8
      2    0.0%    0.0%  LazyCompile: *emit events.js:264:44
      2    0.0%    0.0%  LazyCompile: *destroy internal/streams/destroy.js:5:17
      2    0.0%    0.0%  LazyCompile: *createHtmlDocument /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/finalhandler/index.js:43:29
      2    0.0%    0.0%  LazyCompile: *clearBuffer internal/streams/writable.js:493:21
      2    0.0%    0.0%  LazyCompile: *cleanup /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/ee-first/index.js:58:19
      2    0.0%    0.0%  LazyCompile: *callFinal internal/streams/writable.js:609:19
      2    0.0%    0.0%  LazyCompile: *afterWriteTick internal/streams/writable.js:451:24
      2    0.0%    0.0%  LazyCompile: *WritableState internal/streams/writable.js:67:23
      2    0.0%    0.0%  LazyCompile: *Writable.write internal/streams/writable.js:258:36
      2    0.0%    0.0%  LazyCompile: *Socket.read net.js:620:33
      2    0.0%    0.0%  LazyCompile: *Socket._read net.js:578:34
      2    0.0%    0.0%  LazyCompile: *ReadableState internal/streams/readable.js:90:23
      1    0.0%    0.0%  RegExp: \x20{2}
      1    0.0%    0.0%  RegExp: [^\t\x20-\x7e\x80-\xff]
      1    0.0%    0.0%  RegExp: (?:[^\x21\x25\x26-\x3B\x3D\x3F-\x5B\x5D\x5F\x61-\x7A\x7E]|%(?:[^0-9A-Fa-f]|[0-9A-Fa-f][^0-9A-Fa-f]|$))+
      1    0.0%    0.0%  LazyCompile: *writeHead _http_server.js:250:19
      1    0.0%    0.0%  LazyCompile: *socketListenerWrap _http_server.js:923:37
      1    0.0%    0.0%  LazyCompile: *processPromiseRejections internal/process/promises.js:190:34
      1    0.0%    0.0%  LazyCompile: *originalurl /Users/Aliaksandr_Varachai/projects/js-experiments/performance/node_modules/parseurl/index.js:65:22
